"state_code","school_code","people","year"
50,17,15919,2011
50,18,33005,2011
50,19,73039,2011
50,20,37765,2011
50,21,104730,2011
50,22,46475,2011
50,23,9261,2011
50,24,8140,2011
50,NA,18351,2011
51,1,256622,2011
51,2,130762,2011
51,3,112040,2011
51,4,105095,2011
51,5,102609,2011
51,6,117071,2011
51,7,112607,2011
51,8,123138,2011
51,9,153501,2011
51,10,142472,2011
51,11,191766,2011
51,12,187888,2011
51,13,233304,2011
51,14,245658,2011
51,15,94386,2011
51,16,1379640,2011
51,17,242631,2011
51,18,416672,2011
51,19,1023992,2011
51,20,409944,2011
51,21,1207690,2011
51,22,587836,2011
51,23,136579,2011
51,24,83699,2011
51,NA,299002,2011
53,1,240274,2011
53,2,98809,2011
53,3,90439,2011
53,4,91714,2011
53,5,89655,2011
53,6,96240,2011
53,7,99878,2011
53,8,104870,2011
53,9,135055,2011
53,10,97268,2011
53,11,143841,2011
53,12,148315,2011
53,13,153574,2011
53,14,190948,2011
53,15,100183,2011
53,16,1077832,2011
53,17,208166,2011
53,18,437432,2011
53,19,963432,2011
53,20,487318,2011
53,21,978391,2011
53,22,380769,2011
53,23,96504,2011
53,24,60079,2011
53,NA,259052,2011
54,1,57375,2011
54,2,23294,2011
54,3,23736,2011
54,4,22019,2011
54,5,20161,2011
54,6,23756,2011
54,7,23455,2011
54,8,22196,2011
54,9,33187,2011
54,10,39094,2011
54,11,61013,2011
54,12,57797,2011
54,13,70864,2011
54,14,66570,2011
54,15,17833,2011
54,16,494892,2011
54,17,94657,2011
54,18,90819,2011
54,19,206842,2011
54,20,90132,2011
54,21,166283,2011
54,22,63647,2011
54,23,16603,2011
54,24,9873,2011
54,NA,59266,2011
55,1,188752,2011
55,2,80281,2011
55,3,82316,2011
55,4,75823,2011
55,5,76877,2011
55,6,77316,2011
55,7,83716,2011
55,8,77001,2011
55,9,93324,2011
55,10,82342,2011
55,11,147033,2011
55,12,110080,2011
55,13,139187,2011
55,14,174275,2011
55,15,74881,2011
55,16,1309363,2011
55,17,145516,2011
55,18,322083,2011
55,19,722215,2011
55,20,387222,2011
55,21,711987,2011
55,22,260597,2011
55,23,58727,2011
55,24,35547,2011
55,NA,195306,2011
56,1,19234,2011
56,2,9298,2011
56,3,7401,2011
56,4,7200,2011
56,5,7944,2011
56,6,5997,2011
56,7,9786,2011
56,8,7480,2011
56,9,8332,2011
56,10,8631,2011
56,11,11099,2011
56,12,11612,2011
56,13,12584,2011
56,14,17272,2011
56,15,5333,2011
56,16,114493,2011
56,17,22355,2011
56,18,38189,2011
56,19,85588,2011
56,20,40100,2011
56,21,64400,2011
56,22,23859,2011
56,23,5589,2011
56,24,3302,2011
56,NA,21080,2011
