"","state_code","school_code","people","year","acs_state_name"
"627",29,2,90496,2008,"nevada"
"628",29,3,75682,2008,"nevada"
"629",29,4,75471,2008,"nevada"
"630",29,5,83862,2008,"nevada"
"631",29,6,80408,2008,"nevada"
"632",29,7,78752,2008,"nevada"
"633",29,8,88666,2008,"nevada"
"634",29,9,94986,2008,"nevada"
"635",29,10,90281,2008,"nevada"
"636",29,11,187589,2008,"nevada"
"637",29,12,163780,2008,"nevada"
"638",29,13,199705,2008,"nevada"
"639",29,14,222909,2008,"nevada"
"640",29,15,68386,2008,"nevada"
"641",29,16,1227730,2008,"nevada"
"642",29,17,201051,2008,"nevada"
"643",29,18,347805,2008,"nevada"
"644",29,19,762616,2008,"nevada"
"645",29,20,292957,2008,"nevada"
"646",29,21,673999,2008,"nevada"
"647",29,22,260272,2008,"nevada"
"648",29,23,66169,2008,"nevada"
"649",29,24,40069,2008,"nevada"
"650",29,NA,237064,2008,"nevada"
"651",30,1,33587,2008,"new hampshire"
"652",30,2,12558,2008,"new hampshire"
"653",30,3,13469,2008,"new hampshire"
"654",30,4,10624,2008,"new hampshire"
"655",30,5,12415,2008,"new hampshire"
"656",30,6,14015,2008,"new hampshire"
"657",30,7,11837,2008,"new hampshire"
"658",30,8,12988,2008,"new hampshire"
"659",30,9,11660,2008,"new hampshire"
"660",30,10,11045,2008,"new hampshire"
"661",30,11,26783,2008,"new hampshire"
"662",30,12,22514,2008,"new hampshire"
"663",30,13,26772,2008,"new hampshire"
"664",30,14,30522,2008,"new hampshire"
"665",30,15,9440,2008,"new hampshire"
"666",30,16,196600,2008,"new hampshire"
"667",30,17,39302,2008,"new hampshire"
"668",30,18,59424,2008,"new hampshire"
"669",30,19,142563,2008,"new hampshire"
"670",30,20,50704,2008,"new hampshire"
"671",30,21,127990,2008,"new hampshire"
"672",30,22,34508,2008,"new hampshire"
"673",30,23,11851,2008,"new hampshire"
"674",30,24,7682,2008,"new hampshire"
"675",30,NA,36587,2008,"new hampshire"
"676",31,1,62101,2008,"new jersey"
"677",31,2,28703,2008,"new jersey"
"678",31,3,25084,2008,"new jersey"
"679",31,4,25853,2008,"new jersey"
"680",31,5,27026,2008,"new jersey"
"681",31,6,21678,2008,"new jersey"
"682",31,7,24998,2008,"new jersey"
"683",31,8,31372,2008,"new jersey"
"684",31,9,30705,2008,"new jersey"
"685",31,10,32332,2008,"new jersey"
"686",31,11,45966,2008,"new jersey"
"687",31,12,45424,2008,"new jersey"
"688",31,13,44684,2008,"new jersey"
"689",31,14,47742,2008,"new jersey"
"690",31,15,15535,2008,"new jersey"
"691",31,16,349694,2008,"new jersey"
"692",31,17,45631,2008,"new jersey"
"693",31,18,116720,2008,"new jersey"
"694",31,19,237092,2008,"new jersey"
"695",31,20,115558,2008,"new jersey"
"696",31,21,235191,2008,"new jersey"
"697",31,22,67664,2008,"new jersey"
"698",31,23,20291,2008,"new jersey"
"699",31,24,9744,2008,"new jersey"
"700",31,NA,76644,2008,"new jersey"
"701",32,1,111252,2008,"new mexico"
"702",32,2,29300,2008,"new mexico"
"703",32,3,41393,2008,"new mexico"
"704",32,4,38669,2008,"new mexico"
"705",32,5,39240,2008,"new mexico"
"706",32,6,44556,2008,"new mexico"
"707",32,7,36198,2008,"new mexico"
"708",32,8,45677,2008,"new mexico"
"709",32,9,74364,2008,"new mexico"
"710",32,10,42865,2008,"new mexico"
"711",32,11,66707,2008,"new mexico"
"712",32,12,77210,2008,"new mexico"
"713",32,13,81912,2008,"new mexico"
"714",32,14,95039,2008,"new mexico"
"715",32,15,58064,2008,"new mexico"
"716",32,16,494806,2008,"new mexico"
