"","state_code","year","school_code","people","acs_state_name","totalpop","prop"
"251",10,2012,1,27568,"florida",917092,3.00602338696663
"252",10,2012,2,14181,"florida",917092,1.54630069829417
"253",10,2012,3,9706,"florida",917092,1.05834529142114
"254",10,2012,4,12085,"florida",917092,1.31775219934314
"255",10,2012,5,12755,"florida",917092,1.39080920998111
"256",10,2012,6,13880,"florida",917092,1.51347956366428
"257",10,2012,7,10868,"florida",917092,1.18505013673655
"258",10,2012,8,15231,"florida",917092,1.66079302839846
"259",10,2012,9,15707,"florida",917092,1.71269621804574
"260",10,2012,10,15987,"florida",917092,1.74322750607355
"261",10,2012,11,19078,"florida",917092,2.08027111783769
"262",10,2012,12,19849,"florida",917092,2.16434120022855
"263",10,2012,13,27780,"florida",917092,3.02913993361626
"264",10,2012,14,32048,"florida",917092,3.49452399541158
"265",10,2012,15,11853,"florida",917092,1.29245484640581
"266",10,2012,16,203085,"florida",917092,22.1444522468847
"267",10,2012,17,21926,"florida",917092,2.39081793320626
"268",10,2012,18,50050,"florida",917092,5.45746773497097
"269",10,2012,19,113308,"florida",917092,12.3551399423395
"270",10,2012,20,41937,"florida",917092,4.57282366436519
"271",10,2012,21,123971,"florida",917092,13.5178368146271
"272",10,2012,22,50219,"florida",917092,5.47589554810204
"273",10,2012,23,8758,"florida",917092,0.954975073384131
"274",10,2012,24,10739,"florida",917092,1.17098393618088
"275",10,2012,NA,34523,"florida",917092,3.76439877351454
"276",10,2013,1,28772,"florida",916929,3.13786563627064
"277",10,2013,2,14826,"florida",916929,1.61691908533812
"278",10,2013,3,9407,"florida",916929,1.02592458085631
"279",10,2013,4,12630,"florida",916929,1.37742398811686
"280",10,2013,5,13074,"florida",916929,1.42584649411241
"281",10,2013,6,13441,"florida",916929,1.46587140334748
"282",10,2013,7,12563,"florida",916929,1.37011698833825
"283",10,2013,8,14105,"florida",916929,1.53828704294444
"284",10,2013,9,15481,"florida",916929,1.68835318765139
"285",10,2013,10,15341,"florida",916929,1.67308482990504
"286",10,2013,11,20785,"florida",916929,2.26680582684155
"287",10,2013,12,20269,"florida",916929,2.21053102257645
"288",10,2013,13,29146,"florida",916929,3.17865396339302
"289",10,2013,14,29918,"florida",916929,3.26284805039431
"290",10,2013,15,11383,"florida",916929,1.24142654447618
"291",10,2013,16,199828,"florida",916929,21.7931813695499
"292",10,2013,17,23043,"florida",916929,2.51306262535049
"293",10,2013,18,48247,"florida",916929,5.26180325848566
"294",10,2013,19,112359,"florida",916929,12.253838628727
"295",10,2013,20,48072,"florida",916929,5.24271781130273
"296",10,2013,21,117669,"florida",916929,12.8329456261063
"297",10,2013,22,52639,"florida",916929,5.7407934529282
"298",10,2013,23,10550,"florida",916929,1.15057981588542
"299",10,2013,24,10384,"florida",916929,1.13247590598618
"300",10,2013,NA,32997,"florida",916929,3.59864286111575
"301",11,2008,1,15531,"georgia",591833,2.62422000800902
"302",11,2008,2,9504,"georgia",591833,1.60585840938238
"303",11,2008,3,4186,"georgia",591833,0.707294118442196
"304",11,2008,4,6656,"georgia",591833,1.1246415796348
"305",11,2008,5,6793,"georgia",591833,1.14779000157139
"306",11,2008,6,8139,"georgia",591833,1.37521902293383
"307",11,2008,7,6736,"georgia",591833,1.1381589063131
"308",11,2008,8,8734,"georgia",591833,1.47575414010371
"309",11,2008,9,7987,"georgia",591833,1.34953610224506
"310",11,2008,10,9353,"georgia",591833,1.58034445527708
"311",11,2008,11,11745,"georgia",591833,1.98451252295833
"312",11,2008,12,17228,"georgia",591833,2.91095630017251
"313",11,2008,13,14859,"georgia",591833,2.51067446391127
"314",11,2008,14,22319,"georgia",591833,3.77116517666301
"315",11,2008,15,7244,"georgia",591833,1.22399393072032
"316",11,2008,16,83087,"georgia",591833,14.0389265215018
"317",11,2008,17,12844,"georgia",591833,2.17020679820152
"318",11,2008,18,22587,"georgia",591833,3.81644822103533
"319",11,2008,19,67039,"georgia",591833,11.3273507898343
"320",11,2008,20,14505,"georgia",591833,2.45086029335978
"321",11,2008,21,101809,"georgia",591833,17.2023188973917
"322",11,2008,22,62806,"georgia",591833,10.6121152419686
"323",11,2008,23,31305,"georgia",591833,5.28949889580338
"324",11,2008,24,16490,"georgia",591833,2.78625896156517
"325",11,2008,NA,22347,"georgia",591833,3.77589624100042
"326",11,2009,1,17510,"georgia",599657,2.92000260148718
"327",11,2009,2,7533,"georgia",599657,1.25621813803558
"328",11,2009,3,5926,"georgia",599657,0.988231605734612
"329",11,2009,4,5561,"georgia",599657,0.927363476120516
"330",11,2009,5,6864,"georgia",599657,1.14465436074289
"331",11,2009,6,6505,"georgia",599657,1.08478680312245
"332",11,2009,7,5715,"georgia",599657,0.953044823957696
"333",11,2009,8,7327,"georgia",599657,1.22186516625337
"334",11,2009,9,11629,"georgia",599657,1.93927528570499
"335",11,2009,10,7704,"georgia",599657,1.28473443985478
"336",11,2009,11,10819,"georgia",599657,1.80419806656138
"337",11,2009,12,16362,"georgia",599657,2.72855982670093
"338",11,2009,13,18101,"georgia",599657,3.01855894286234
"339",11,2009,14,19345,"georgia",599657,3.22601086954709
"340",11,2009,15,7632,"georgia",599657,1.27272757593091
"341",11,2009,16,86188,"georgia",599657,14.3728831648759
"342",11,2009,17,12427,"georgia",599657,2.07235136086129
"343",11,2009,18,23651,"georgia",599657,3.94408803699448
"344",11,2009,19,74833,"georgia",599657,12.4793006668812
"345",11,2009,20,10884,"georgia",599657,1.81503759649266
"346",11,2009,21,95272,"georgia",599657,15.8877491632717
"347",11,2009,22,66126,"georgia",599657,11.0273039420869
"348",11,2009,23,35614,"georgia",599657,5.93906183034635
"349",11,2009,24,17383,"georgia",599657,2.89882382762146
"350",11,2009,NA,22746,"georgia",599657,3.79316842795131
"351",11,2010,1,13973,"georgia",604453,2.31167683839769
"352",11,2010,2,8100,"georgia",604453,1.34005456172771
"353",11,2010,3,7803,"georgia",604453,1.29091922779769
"354",11,2010,4,4810,"georgia",604453,0.795760795297567
"355",11,2010,5,6256,"georgia",604453,1.03498535039118
"356",11,2010,6,5895,"georgia",604453,0.975261931035167
"357",11,2010,7,5798,"georgia",604453,0.959214364061391
"358",11,2010,8,6612,"georgia",604453,1.09388157557329
"359",11,2010,9,9581,"georgia",604453,1.58506947603867
"360",11,2010,10,7004,"georgia",604453,1.15873359880752
"361",11,2010,11,9198,"georgia",604453,1.52170640231747
"362",11,2010,12,15910,"georgia",604453,2.63213186136887
"363",11,2010,13,17361,"georgia",604453,2.87218361063639
"364",11,2010,14,18165,"georgia",604453,3.00519643380048
"365",11,2010,15,7326,"georgia",604453,1.21200490360706
"366",11,2010,16,86456,"georgia",604453,14.3031798998433
"367",11,2010,17,12703,"georgia",604453,2.10156951822557
"368",11,2010,18,21240,"georgia",604453,3.51392085075266
"369",11,2010,19,70906,"georgia",604453,11.7306060189957
"370",11,2010,20,14904,"georgia",604453,2.46570039357899
"371",11,2010,21,119529,"georgia",604453,19.7747384825619
"372",11,2010,22,64448,"georgia",604453,10.6622020239787
"373",11,2010,23,34455,"georgia",604453,5.70019505238621
"374",11,2010,24,14992,"georgia",604453,2.48025901103973
"375",11,2010,NA,21028,"georgia",604453,3.47884781777905
"376",11,2011,1,16141,"georgia",617996,2.61182920277801
"377",11,2011,2,11749,"georgia",617996,1.90114499122972
"378",11,2011,3,4580,"georgia",617996,0.741105120421491
"379",11,2011,4,6003,"georgia",617996,0.971365510456378
"380",11,2011,5,6364,"georgia",617996,1.02978012802672
"381",11,2011,6,5895,"georgia",617996,0.953889669188797
"382",11,2011,7,7902,"georgia",617996,1.27864905274468
"383",11,2011,8,5627,"georgia",617996,0.910523692709985
"384",11,2011,9,7886,"georgia",617996,1.27606003922355
"385",11,2011,10,8229,"georgia",617996,1.33156201658263
"386",11,2011,11,10508,"georgia",617996,1.7003346299976
"387",11,2011,12,12675,"georgia",617996,2.05098414876472
"388",11,2011,13,17543,"georgia",617996,2.83869151256642
"389",11,2011,14,18685,"georgia",617996,3.02348235263659
"390",11,2011,15,7355,"georgia",617996,1.19013715299128
"391",11,2011,16,82020,"georgia",617996,13.2719305626574
"392",11,2011,17,11900,"georgia",617996,1.92557880633532
"393",11,2011,18,22132,"georgia",617996,3.58125295309355
"394",11,2011,19,73600,"georgia",617996,11.9094621971663
"395",11,2011,20,14543,"georgia",617996,2.35325147735584
"396",11,2011,21,119431,"georgia",617996,19.3255296150784
"397",11,2011,22,77796,"georgia",617996,12.5884309930809
"398",11,2011,23,30464,"georgia",617996,4.92948174421841
"399",11,2011,24,17521,"georgia",617996,2.83513161897488
"400",11,2011,NA,21447,"georgia",617996,3.47041081172046
"401",11,2012,1,18304,"georgia",632323,2.89472310828485
"402",11,2012,2,10690,"georgia",632323,1.69059167545701
"403",11,2012,3,7242,"georgia",632323,1.14530074028621
"404",11,2012,4,5889,"georgia",632323,0.931327818219486
"405",11,2012,5,5923,"georgia",632323,0.936704817000172
"406",11,2012,6,6619,"georgia",632323,1.04677514498128
"407",11,2012,7,5906,"georgia",632323,0.934016317609829
"408",11,2012,8,5330,"georgia",632323,0.842923632384082
"409",11,2012,9,5602,"georgia",632323,0.885939622629574
"410",11,2012,10,7424,"georgia",632323,1.17408349846518
"411",11,2012,11,11322,"georgia",632323,1.79054059396859
"412",11,2012,12,11650,"georgia",632323,1.84241281749992
"413",11,2012,13,13162,"georgia",632323,2.0815311162175
"414",11,2012,14,20191,"georgia",632323,3.19314654061295
"415",11,2012,15,9293,"georgia",632323,1.46966028437998
"416",11,2012,16,86873,"georgia",632323,13.7387063257228
"417",11,2012,17,12836,"georgia",632323,2.0299751867321
"418",11,2012,18,23889,"georgia",632323,3.77797423152408
"419",11,2012,19,69484,"georgia",632323,10.9886877434476
"420",11,2012,20,15251,"georgia",632323,2.4119002471838
"421",11,2012,21,123099,"georgia",632323,19.4677403795212
"422",11,2012,22,80782,"georgia",632323,12.7754328088651
"423",11,2012,23,36482,"georgia",632323,5.76951969167656
"424",11,2012,24,16342,"georgia",632323,2.58443864923465
"425",11,2012,NA,22738,"georgia",632323,3.59594700809555
"426",11,2013,1,15826,"georgia",633167,2.49949855251458
"427",11,2013,2,11276,"georgia",633167,1.78088877026124
"428",11,2013,3,6144,"georgia",633167,0.970360110365828
"429",11,2013,4,5873,"georgia",633167,0.927559395862387
"430",11,2013,5,6699,"georgia",633167,1.05801471017915
